Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
2	1591	11.009	115.694	97.862	
2	1608	11	115.759	97.8482	
2	1624	10.9716	115.73	97.8589	
2	1641	10.9422	115.757	97.8696	
2	1658	10.9966	115.799	97.8635	
2	1674	11.0352	115.788	97.8397	
2	1691	10.9597	115.801	97.8904	
2	1708	11.0113	115.82	97.8796	
2	1724	10.9617	115.799	97.9034	
2	1741	10.9633	115.786	97.903	
2	1758	10.9791	115.789	97.9253	
2	1774	10.9216	115.826	97.9599	
2	1791	10.9461	115.815	97.9731	
2	1808	10.9483	115.805	97.9505	
2	1824	10.9414	115.795	97.9844	
2	1841	10.9121	115.795	98.0077	
2	1858	10.8909	115.786	97.9863	
2	1874	10.8727	115.744	97.9402	
2	1891	10.8772	115.729	97.9365	
2	1908	10.8547	115.672	97.896	
2	1924	10.8132	115.609	97.8219	
2	1941	10.7931	115.537	97.7729	
2	1958	10.7701	115.508	97.699	
2	1974	10.6694	115.437	97.6695	
2	1991	10.6963	115.328	97.5946	
2	2008	10.6923	115.242	97.4502	
2	2024	10.6877	115.156	97.3375	
2	2041	10.6714	115.048	97.2528	
2	2058	10.6924	114.872	97.0819	
2	2074	10.6061	114.75	97.0005	
2	2091	10.5824	114.533	96.8577	
2	2108	10.5586	114.413	96.717	
2	2124	10.5472	114.284	96.5392	
2	2141	10.4483	114.082	96.1578	
2	2158	10.4377	113.927	95.967	
2	2174	10.3665	113.766	95.8148	
2	2191	10.2679	113.569	95.6665	
2	2208	10.2132	113.381	95.4935	
2	2224	10.1796	113.178	95.3275	
2	2241	10.0868	112.967	95.1311	
2	2258	10.0399	112.743	94.8869	
2	2274	9.92228	112.481	94.78	
2	2291	9.864	112.233	94.5622	
2	2308	9.79502	111.975	94.3443	
2	2324	9.71076	111.725	94.1535	
2	2341	9.60041	111.426	93.9231	
2	2358	9.49806	111.138	93.6986	
2	2374	9.40377	110.827	93.4504	
2	2391	9.24441	110.539	93.2276	
2	2408	9.18831	110.202	93.072	
2	2424	9.06063	109.817	92.8029	
2	2441	8.95968	109.467	92.5841	
2	2458	8.86574	109.063	92.3233	
2	2474	8.69344	108.671	92.1108	
2	2491	8.63467	108.356	91.968	
2	2508	8.54447	107.881	91.6199	
3	8	12.7357	113.418	93.1464	
3	-9	12.8115	113.403	93.152	
3	24	12.7847	113.482	93.1167	
3	41	12.7282	113.536	93.1357	
3	58	12.7019	113.541	93.1027	
3	74	12.6595	113.587	93.1079	
3	91	12.6559	113.629	93.0929	
3	108	12.6466	113.643	93.0638	
3	124	12.6521	113.688	93.0394	
3	141	12.6625	113.805	93.0345	
3	158	12.6123	113.823	93.0112	
3	174	12.6108	113.902	93.0722	
3	191	12.5946	113.917	93.0356	
3	208	12.6017	113.954	93.0315	
3	224	12.6162	113.981	93.0022	
3	241	12.6649	114.023	93.0224	
3	258	12.6001	114.077	93.0468	
3	274	12.6194	114.084	93.0424	
3	291	12.6047	114.117	93.0263	
3	308	12.5974	114.168	93.0527	
3	324	12.6034	114.189	93.0169	
3	341	12.6086	114.211	93.0408	
3	358	12.6213	114.235	93.0329	
3	374	12.6319	114.26	93.0449	
3	391	12.5999	114.319	93.0707	
3	408	12.6437	114.309	93.0463	
3	424	12.6438	114.362	93.079	
3	441	12.639	114.396	93.0498	
3	458	12.6172	114.459	93.1102	
3	474	12.6983	114.448	93.0737	
3	491	12.6785	114.538	93.0925	
3	508	12.7186	114.53	93.08	
3	524	12.6474	114.573	93.0755	
3	541	12.7031	114.6	93.1121	
3	558	12.6628	114.634	93.1112	
3	574	12.6382	114.676	93.0797	
3	591	12.6072	114.753	93.1068	
3	608	12.6477	114.775	93.0603	
3	624	12.6331	114.8	93.0654	
3	641	12.6298	114.884	93.0395	
3	658	12.607	114.903	93.0452	
3	674	12.5057	114.971	93.0901	
3	691	12.4784	115.042	93.1095	
3	708	12.4731	115.085	93.0263	
3	724	12.3975	115.149	93.0772	
3	741	12.3376	115.224	93.0435	
3	758	12.3419	115.251	93.0285	
3	774	12.316	115.306	93.0046	
3	791	12.2625	115.372	93.0531	
3	808	12.2084	115.443	93.0435	
3	824	12.2051	115.466	92.9882	
3	841	12.1372	115.561	93.0333	
3	858	12.1048	115.606	93.0271	
3	874	12.057	115.684	93.0376	
3	891	12.0277	115.723	93.0504	
3	908	11.9759	115.787	93.0163	
3	924	11.9796	115.827	93.0405	
3	941	11.8955	115.902	93.0543	
3	958	11.8964	115.927	93.0349	
3	974	11.8699	115.945	93.0593	
3	991	11.8579	116.043	93.0223	
3	1008	11.7427	116.096	93.1036	
3	1024	11.7594	116.098	93.0602	
3	1041	11.7226	116.145	93.0593	
3	1058	11.7146	116.217	93.1222	
3	1074	11.6549	116.217	93.0983	
3	1091	11.7266	116.266	93.0732	
3	1108	11.7217	116.298	93.1237	
3	1124	11.7012	116.285	93.1145	
3	1141	11.6747	116.329	93.1479	
3	1158	11.7091	116.372	93.1328	
3	1174	11.6455	116.425	93.2172	
3	1191	11.671	116.421	93.1597	
3	1208	11.7487	116.452	93.1354	
3	1224	11.6903	116.478	93.1992	
3	1241	11.6982	116.499	93.2105	
3	1258	11.735	116.501	93.1901	
3	1274	11.7256	116.545	93.2182	
3	1291	11.7502	116.545	93.1726	
3	1308	11.7784	116.557	93.212	
3	1324	11.8091	116.567	93.1654	
3	1341	11.8441	116.578	93.1376	
3	1358	11.8522	116.602	93.1661	
3	1374	11.8834	116.609	93.1344	
3	1391	11.9117	116.601	93.1005	
3	1408	11.9131	116.635	93.0891	
3	1424	11.8769	116.67	93.0784	
3	1441	11.9409	116.675	93.1147	
3	1458	11.9072	116.709	93.0743	
3	1474	11.9335	116.715	93.0684	
3	1491	11.8948	116.723	93.0349	
3	1508	11.8365	116.745	93.0632	
3	1524	11.8877	116.772	93.0724	
3	1541	11.8784	116.788	93.0086	
3	1558	11.8544	116.826	93.0153	
3	1574	11.9146	116.852	93.0231	
3	1591	11.8489	116.853	93.0394	
3	1608	11.8454	116.912	93.024	
3	1624	11.817	116.866	93.0296	
3	1641	11.793	116.895	93.0424	
3	1658	11.7998	116.916	93.0224	
3	1674	11.8396	116.919	92.9999	
3	1691	11.7769	116.931	93.054	
3	1708	11.8054	116.943	93.0368	
3	1724	11.7758	116.927	93.0644	
3	1741	11.7705	116.902	93.0594	
3	1758	11.7803	116.911	93.0819	
3	1774	11.7172	116.934	93.1114	
3	1791	11.7297	116.918	93.1214	
3	1808	11.7216	116.901	93.0942	
3	1824	11.7047	116.882	93.1237	
3	1841	11.665	116.874	93.1427	
3	1858	11.6358	116.851	93.1165	
3	1874	11.5984	116.809	93.0667	
3	1891	11.5956	116.782	93.0585	
3	1908	11.5535	116.728	93.015	
3	1924	11.4636	116.615	92.9247	
3	1941	11.4221	116.531	92.8699	
3	1958	11.3747	116.497	92.7915	
3	1974	11.2814	116.412	92.76	
3	1991	11.2773	116.29	92.6768	
3	2008	11.2771	116.197	92.5307	
3	2024	11.2426	116.115	92.4138	
3	2041	11.2017	116.013	92.3274	
3	2058	11.1545	115.846	92.1484	
3	2074	11.0849	115.706	92.0649	
3	2091	11.0254	115.542	91.9242	
3	2108	10.9412	115.409	91.7726	
3	2124	10.9291	115.292	91.5931	
3	2141	10.6679	115.045	91.1918	
3	2158	10.6439	114.891	90.9991	
3	2174	10.5409	114.728	90.8424	
3	2191	10.463	114.553	90.6976	
3	2208	10.3434	114.343	90.5171	
3	2224	10.2821	114.119	90.3448	
3	2241	10.1495	113.9	90.1456	
3	2258	10.0617	113.673	89.8993	
3	2274	9.9253	113.406	89.79	
3	2291	9.81586	113.153	89.572	
3	2308	9.69477	112.881	89.3505	
3	2324	9.53123	112.534	89.1441	
3	2341	9.38578	112.239	88.9148	
3	2358	9.20869	111.859	88.6835	
3	2374	9.06494	111.528	88.4358	
3	2391	8.86473	111.221	88.2169	
3	2408	8.75324	110.871	88.0659	
3	2424	8.59052	110.485	87.8016	
3	2441	8.4667	110.125	87.5812	
3	2458	8.32864	109.739	87.3247	
3	2474	8.10023	109.313	87.1154	
3	2491	8.00965	108.977	86.979	
3	2508	7.84439	108.532	86.6504	
4	8	12.5773	114.89	91.2228	
4	-9	12.6499	114.875	91.2284	
4	24	12.6292	114.96	91.1981	
4	41	12.563	115.012	91.2157	
4	58	12.5497	115.024	91.1865	
4	74	12.5082	115.069	91.1908	
4	91	12.4992	115.108	91.1742	
4	108	12.4855	115.124	91.1469	
4	124	12.4813	115.168	91.123	
4	141	12.4749	115.293	91.1247	
4	158	12.4301	115.314	91.103	
4	174	12.4503	115.402	91.1691	
4	191	12.424	115.409	91.1273	
4	208	12.4293	115.453	91.1296	
4	224	12.4401	115.476	91.0976	
4	241	12.4926	115.521	91.1201	
4	258	12.4222	115.572	91.1423	
4	274	12.4422	115.58	91.1387	
4	291	12.4226	115.612	91.1217	
4	308	12.4147	115.662	91.1481	
4	324	12.4187	115.684	91.113	
4	341	12.4224	115.704	91.1357	
4	358	12.4338	115.73	91.1292	
4	374	12.4412	115.753	91.1411	
